id,keyword
1,học cơ bản
2,tìm khóa học
3,kiểm duyệt thông tin
4,lọc thông tin
5,thông tin
6,tạo lập/ tạo
7,cập nhật thông tin
8,đánh giá thông tin
9,phân tích thông tin
10,quản lý dữ liệu
11,quản lý thông tin
12,tổ chức dữ liệu
13,lưu trữ dữ liệu
14,truy xuất dữ liệu
15,so sánh dữ liệu
16,đánh giá uy tín dữ liệu
17,đánh giá độ tin cậy dữ liệu
18,truy cập dữ liệu
19,truy cập thông tin
20,Fresher
21,hiểu biết cơ bản
22,tương tác
23,giao tiếp
24,phương tiện giao tiếp
25,chia sẻ dữ liệu
26,chia sẻ thông tin
27,Share
28,tham chiếu
29,phân bổ
30,công dân số
31,quyền công dân
32,quản lý danh tính
33,xử lý khủng hoảng truyền thông
34,chuẩn mực mạng xã hội
35,quy tắc ứng xử trên không gian mạng
36,biết cơ bản
37,Junior
38,thành thạo
39,phát triển nội dung
40,định hướng nội dung
41,content creator
42,sáng tạo nội dung
43,tích hợp nội dung
44,sửa đổi thông tin
45,"cải tiến, tích hợp thông tin"
46,bảo vệ bản quyền
47,bản quyền
48,giấy phép
49,lập trình
50,code
51,hòa nhập
52,Immediate
53,an ninh mạng
54,bảo mật
55,biện pháp an toàn
56,bảo mật thông tin
57,quyền riêng tư
58,độ tin cậy
59,bảo vệ dữ liệu cá nhân
60,chính sách quyền riêng tư
61,bắt nạt mạng
62,tống tiền mạng
63,bảo vệ môi trường
64,môi trường mạng
65,Senior
66,chuyên sâu
67,nhu cầu
68,giải quyết vấn đề
69,vận hành thiết bị
70,ứng dụng
71,sáng tạo
72,giải quyết tình huống
73,kĩ năng số
74,khoảng cách số
75,vấn đề kĩ thuật
76,dạy
77,chuyên gia
78,đào tạo
79,mở lớp
80,Advanced
81,rằng
82,thì
83,là
84,mà
85,tôi
86,ta
87,tớ
88,tao
89,mày
90,tiền
91,to
92,bé
93,cao
94,lớn
95,nhiều
96,ít
