id,keyword
1,Điện thoại
2,Iphone
3,Internet
4,TV
5,Google
6,chuyển khoản
7,video call
8,máy tính
9,mật khẩu
10,tải về
11,Viettel
12,video/clip/...
13,quay video/quay phim
14,kết nối
15,order/ đặt hàng
16,CCCD gắn chip
17,tên miền
18,mã độc
19,phần mềm
20,cổng thông tin
21,người dùng
22,tường lửa
23,spam
24,mật mã
25,biểu mẫu
26,nền tảng
27,youtube
28,tiktok
29,facebook
30,zalo
31,vinaphone
32,mobi
33,Công nghệ thông tin
34,Tin học văn phòng
35,Gọi video
36,Ghi âm
37,ipad
38,học online
39,game
40,Banking
41,Mobiphone
42,Vietnammobile
43,Viber
44,Lãi suất
45,Sony
46,LG
47,Nokia
48,Grab
49,Dell
50,HP
51,Google map
52,Toshiba
53,Tài khoản ngân hàng online
54,Thanh toán điện tử
55,Chuyển tiền online
56,Words
57,Excel
58,Powerpoint
59,Messenger
60,SMS
61,Group
62,Tìm kiếm/ Search/Tra cứu
63,Tin học văn phòng
64,Livestreams
65,Học online/ dạy online
66,Trực tuyến
67,Google Translate/ Google dịch
68,Chính sách tam nông
69,Hội chợ nông sản
70,OCOP
71,Tiêu chuẩn VietGAP
72,Tiêu chuẩn GlobalGAP
73,Khuyến nông
74,Nông nghiệp bền vững
75,vườn ươm
76,nông nghiệp 4.0
77,công nghệ sinh học
78,website bán hàng
79,thẻ nhớ
80,lướt web
81,chỉnh ảnh
82,USB
83,zing mp3
84,momo
85,sạc pin
86,tai nghe
87,sạc không dây
88,pin
89,tổng đài hỗ trợ online
90,e-banking
91,online shopping
92,sửa máy tính
93,sáng tạo nội dung số
94,chat bot
95,users
96,heatmap
97,thuật toán
98,hình ảnh
99,phác thảo
100,vẽ
101,thiết kế/design
102,thiết kế đồ họa/graphic design
103,file
104,photo
105,fax
106,đánh máy
107,HR
108,ebook
109,linkedin
110,iOS
111,Inbox
112,livestream
113,check in
114,Mạng xã hội
115,săn sale
116,fanpage
117,shopee
118,lướt face
119,đăng bài
120,mail
121,chuyển tiếp
122,đặt hàng
123,tóp tóp
124,mua hàng trên mạng
125,online/on/offline/off
126,apple
127,đặt hàng online
128,Facebook/...
129,google
130,đăng bài
131,comment/bình luận
132,giao hàng
133,liên hệ./contact
134,mạng lag
135,công nghệ
136,like/thích/share/chia sẻ
137,quẹt thẻ
138,ATM
139,Chuyển khoản
140,camera
141,BizFly Cloud
142,FPT Information System
143,VNPT
